Time [s], Analyzer Name, Decoded Protocol Result
3.404831000000000,pin5,'0' (0x00)
3.409414000000000,pin5,'0' (0x00)
3.413998000000000,pin5,'0' (0x00)
3.418582000000000,pin5,'0' (0x00)
3.423165000000000,pin5,'0' (0x00)
3.427749000000000,pin5,'0' (0x00)
3.432332000000000,pin5,'0' (0x00)
3.436916000000000,pin5,'0' (0x00)
3.441500000000000,pin5,'0' (0x00)
3.446083000000000,pin5,'0' (0x00)
3.450667000000000,pin5,'0' (0x00)
3.455251000000000,pin5,z (0x7A)
3.478831000000000,pin4,'252' (0xFC)
3.483344000000000,pin4,b (0x62)
3.487857000000000,pin4,'1' (0x01)
3.492371000000000,pin4,0 (0x30)
3.496884000000000,pin4,'16' (0x10)
3.501397000000000,pin4,'3' (0x03)
3.505911000000000,pin4,'0' (0x00)
3.510424000000000,pin4,'0' (0x00)
3.514938000000000,pin4,'4' (0x04)
3.519451000000000,pin4,'0' (0x00)
3.523964000000000,pin4,'150' (0x96)
3.528478000000000,pin4,'157' (0x9D)
3.532991000000000,pin4,'0' (0x00)
3.537504000000000,pin4,'0' (0x00)
3.542018000000000,pin4,'0' (0x00)
3.546531000000000,pin4,'0' (0x00)
3.551045000000000,pin4,'0' (0x00)
3.555558000000000,pin4,'0' (0x00)
3.560071000000000,pin4,'0' (0x00)
3.564585000000000,pin4,'0' (0x00)
3.569098000000000,pin4,'0' (0x00)
3.573612000000000,pin4,# (0x23)
3.600937000000000,pin5,'252' (0xFC)
3.605520000000000,pin5,A (0x41)
3.610104000000000,pin5,'1' (0x01)
3.614687000000000,pin5,0 (0x30)
3.619271000000000,pin5,'16' (0x10)
3.623855000000000,pin5,'1' (0x01)
3.628438000000000,pin5,'15' (0x0F)
3.633022000000000,pin5,'0' (0x00)
3.637605000000000,pin5,'1' (0x01)
3.642189000000000,pin5,'1' (0x01)
3.646773000000000,pin5,'0' (0x00)
3.651356000000000,pin5,'0' (0x00)
3.655940000000000,pin5,'0' (0x00)
3.660524000000000,pin5,'0' (0x00)
3.665107000000000,pin5,'0' (0x00)
3.669691000000000,pin5,'0' (0x00)
3.674274000000000,pin5,'0' (0x00)
3.678858000000000,pin5,'0' (0x00)
3.683442000000000,pin5,'0' (0x00)
3.688025000000000,pin5,'165' (0xA5)
3.692609000000000,pin5,'0' (0x00)
3.697192000000000,pin5,'199' (0xC7)
3.719527000000000,pin4,'252' (0xFC)
3.724040000000000,pin4,a (0x61)
3.728554000000000,pin4,'1' (0x01)
3.733067000000000,pin4,0 (0x30)
3.737581000000000,pin4,'16' (0x10)
3.742094000000000,pin4,'0' (0x00)
3.746607000000000,pin4,'0' (0x00)
3.751121000000000,pin4,'0' (0x00)
3.755634000000000,pin4,'0' (0x00)
3.760147000000000,pin4,'0' (0x00)
3.764661000000000,pin4,'0' (0x00)
3.769174000000000,pin4,'0' (0x00)
3.773688000000000,pin4,'0' (0x00)
3.778201000000000,pin4,'0' (0x00)
3.782714000000000,pin4,'0' (0x00)
3.787228000000000,pin4,'0' (0x00)
3.791741000000000,pin4,'0' (0x00)
3.796254000000000,pin4,'0' (0x00)
3.800768000000000,pin4,'0' (0x00)
3.805281000000000,pin4,'0' (0x00)
3.809795000000000,pin4,'0' (0x00)
3.814308000000000,pin4,^ (0x5E)
5.001986000000000,pin5,'252' (0xFC)
5.006570000000000,pin5,B (0x42)
5.011153000000000,pin5,'1' (0x01)
5.015737000000000,pin5,0 (0x30)
5.020320000000000,pin5,'16' (0x10)
5.024904000000000,pin5,'2' (0x02)
5.029488000000000,pin5,'0' (0x00)
5.034071000000000,pin5,'0' (0x00)
5.038655000000000,pin5,'0' (0x00)
5.043239000000000,pin5,'0' (0x00)
5.047822000000000,pin5,'0' (0x00)
5.052406000000000,pin5,'0' (0x00)
5.056989000000000,pin5,'0' (0x00)
5.061573000000000,pin5,'0' (0x00)
5.066157000000000,pin5,'0' (0x00)
5.070740000000000,pin5,'0' (0x00)
5.075324000000000,pin5,'0' (0x00)
5.079907000000000,pin5,'0' (0x00)
5.084491000000000,pin5,'0' (0x00)
5.089075000000000,pin5,'0' (0x00)
5.093658000000000,pin5,'0' (0x00)
5.098242000000000,pin5,{ (0x7B)
5.119188000000000,pin4,'252' (0xFC)
5.123701000000000,pin4,b (0x62)
5.128215000000000,pin4,'1' (0x01)
5.132728000000000,pin4,0 (0x30)
5.137241000000000,pin4,'16' (0x10)
5.141755000000000,pin4,'2' (0x02)
5.146268000000000,pin4,'0' (0x00)
5.150781000000000,pin4,'0' (0x00)
5.155295000000000,pin4,'1' (0x01)
5.159808000000000,pin4,'1' (0x01)
5.164322000000000,pin4,'29' (0x1D)
5.168835000000000,pin4,'0' (0x00)
5.173348000000000,pin4,'5' (0x05)
5.177862000000000,pin4,'0' (0x00)
5.182375000000000,pin4,'0' (0x00)
5.186888000000000,pin4,'0' (0x00)
5.191402000000000,pin4,'165' (0xA5)
5.195915000000000,pin4,'0' (0x00)
5.200429000000000,pin4,'0' (0x00)
5.204942000000000,pin4,'0' (0x00)
5.209455000000000,pin4,'0' (0x00)
5.213969000000000,pin4,'146' (0x92)
5.239657000000000,pin5,'252' (0xFC)
5.244240000000000,pin5,B (0x42)
5.248824000000000,pin5,'1' (0x01)
5.253408000000000,pin5,0 (0x30)
5.257991000000000,pin5,'16' (0x10)
5.262575000000000,pin5,'3' (0x03)
5.267159000000000,pin5,'0' (0x00)
5.271742000000000,pin5,'0' (0x00)
5.276326000000000,pin5,'0' (0x00)
5.280909000000000,pin5,'0' (0x00)
5.285493000000000,pin5,'0' (0x00)
5.290077000000000,pin5,'0' (0x00)
5.294660000000000,pin5,'0' (0x00)
5.299244000000000,pin5,'0' (0x00)
5.303827000000000,pin5,'0' (0x00)
5.308411000000000,pin5,'0' (0x00)
5.312995000000000,pin5,'0' (0x00)
5.317578000000000,pin5,'0' (0x00)
5.322162000000000,pin5,'0' (0x00)
5.326746000000000,pin5,'0' (0x00)
5.331329000000000,pin5,'0' (0x00)
5.335913000000000,pin5,z (0x7A)
5.359859000000000,pin4,'252' (0xFC)
5.364372000000000,pin4,b (0x62)
5.368885000000000,pin4,'1' (0x01)
5.373399000000000,pin4,0 (0x30)
5.377912000000000,pin4,'16' (0x10)
5.382426000000000,pin4,'3' (0x03)
5.386939000000000,pin4,'0' (0x00)
5.391452000000000,pin4,'0' (0x00)
5.395966000000000,pin4,'4' (0x04)
5.400479000000000,pin4,'0' (0x00)
5.404992000000000,pin4,'150' (0x96)
5.409506000000000,pin4,'157' (0x9D)
5.414019000000000,pin4,'0' (0x00)
5.418533000000000,pin4,'0' (0x00)
5.423046000000000,pin4,'0' (0x00)
5.427559000000000,pin4,'0' (0x00)
5.432073000000000,pin4,'0' (0x00)
5.436586000000000,pin4,'0' (0x00)
5.441100000000000,pin4,'0' (0x00)
5.445613000000000,pin4,'0' (0x00)
5.450126000000000,pin4,'0' (0x00)
5.454640000000000,pin4,# (0x23)
5.481573000000000,pin5,'252' (0xFC)
5.486156000000000,pin5,A (0x41)
5.490740000000000,pin5,'1' (0x01)
5.495324000000000,pin5,0 (0x30)
5.499907000000000,pin5,'16' (0x10)
5.504491000000000,pin5,'1' (0x01)
5.509074000000000,pin5,'15' (0x0F)
5.513658000000000,pin5,'0' (0x00)
5.518242000000000,pin5,'1' (0x01)
5.522825000000000,pin5,'1' (0x01)
5.527409000000000,pin5,'0' (0x00)
5.531992000000000,pin5,'0' (0x00)
5.536576000000000,pin5,'0' (0x00)
5.541160000000000,pin5,'0' (0x00)
5.545743000000000,pin5,'0' (0x00)
5.550327000000000,pin5,'0' (0x00)
5.554911000000000,pin5,'0' (0x00)
5.559494000000000,pin5,'0' (0x00)
5.564078000000000,pin5,'0' (0x00)
5.568661000000000,pin5,'165' (0xA5)
5.573245000000000,pin5,'0' (0x00)
5.577829000000000,pin5,'199' (0xC7)
5.600453000000000,pin4,'252' (0xFC)
5.604966000000000,pin4,a (0x61)
5.609479000000000,pin4,'1' (0x01)
5.613993000000000,pin4,0 (0x30)
5.618506000000000,pin4,'16' (0x10)
5.623020000000000,pin4,'0' (0x00)
5.627533000000000,pin4,'0' (0x00)
5.632046000000000,pin4,'0' (0x00)
5.636560000000000,pin4,'0' (0x00)
5.641073000000000,pin4,'0' (0x00)
5.645586000000000,pin4,'0' (0x00)
5.650100000000000,pin4,'0' (0x00)
5.654613000000000,pin4,'0' (0x00)
5.659127000000000,pin4,'0' (0x00)
5.663640000000000,pin4,'0' (0x00)
5.668153000000000,pin4,'0' (0x00)
5.672667000000000,pin4,'0' (0x00)
5.677180000000000,pin4,'0' (0x00)
5.681693000000000,pin4,'0' (0x00)
5.686207000000000,pin4,'0' (0x00)
5.690720000000000,pin4,'0' (0x00)
5.695234000000000,pin4,^ (0x5E)
6.882700000000000,pin5,'252' (0xFC)
6.887284000000000,pin5,B (0x42)
6.891868000000000,pin5,'1' (0x01)
6.896451000000000,pin5,0 (0x30)
6.901035000000000,pin5,'16' (0x10)
6.905618000000000,pin5,'2' (0x02)
6.910202000000000,pin5,'0' (0x00)
6.914786000000000,pin5,'0' (0x00)
6.919369000000000,pin5,'0' (0x00)
6.923953000000000,pin5,'0' (0x00)
